region,module_id,source_page_url,download_url,license,status,notes
Piemonte,waiting_times,,,da_verificare,to_map,
Piemonte,services,,,da_verificare,to_map,
Piemonte,emergency,,,da_verificare,to_map,
Piemonte,structures,,,da_verificare,to_map,
Piemonte,workforce,,,da_verificare,to_map,
Piemonte,costs,,,da_verificare,to_map,
Piemonte,health_expenditure,,,da_verificare,to_map,
Piemonte,demography,,,da_verificare,to_map,
Valle d Aosta,waiting_times,,,da_verificare,to_map,
Valle d Aosta,services,,,da_verificare,to_map,
Valle d Aosta,emergency,,,da_verificare,to_map,
Valle d Aosta,structures,,,da_verificare,to_map,
Valle d Aosta,workforce,,,da_verificare,to_map,
Valle d Aosta,costs,,,da_verificare,to_map,
Valle d Aosta,health_expenditure,,,da_verificare,to_map,
Valle d Aosta,demography,,,da_verificare,to_map,
Lombardia,waiting_times,,,da_verificare,to_map,
Lombardia,services,,,da_verificare,to_map,
Lombardia,emergency,,,da_verificare,to_map,
Lombardia,structures,,,da_verificare,to_map,
Lombardia,workforce,,,da_verificare,to_map,
Lombardia,costs,,,da_verificare,to_map,
Lombardia,health_expenditure,,,da_verificare,to_map,
Lombardia,demography,,,da_verificare,to_map,
Bolzano,waiting_times,,,da_verificare,to_map,
Bolzano,services,,,da_verificare,to_map,
Bolzano,emergency,,,da_verificare,to_map,
Bolzano,structures,,,da_verificare,to_map,
Bolzano,workforce,,,da_verificare,to_map,
Bolzano,costs,,,da_verificare,to_map,
Bolzano,health_expenditure,,,da_verificare,to_map,
Bolzano,demography,,,da_verificare,to_map,
Trento,waiting_times,,,da_verificare,to_map,
Trento,services,,,da_verificare,to_map,
Trento,emergency,,,da_verificare,to_map,
Trento,structures,,,da_verificare,to_map,
Trento,workforce,,,da_verificare,to_map,
Trento,costs,,,da_verificare,to_map,
Trento,health_expenditure,,,da_verificare,to_map,
Trento,demography,,,da_verificare,to_map,
Veneto,waiting_times,,,da_verificare,to_map,
Veneto,services,,,da_verificare,to_map,
Veneto,emergency,,,da_verificare,to_map,
